TAZ,OldDistric,County,New DistrictName,Region
145,8,King,East Side,BKR
146,8,King,East Side,BKR
147,8,King,East Side,BKR
148,8,King,East Side,BKR
149,8,King,East Side,BKR
150,8,King,East Side,BKR
151,8,King,East Side,BKR
152,8,King,East Side,BKR
153,8,King,East Side,BKR
154,8,King,East Side,BKR
155,8,King,East Side,BKR
156,8,King,East Side,BKR
157,8,King,East Side,BKR
158,8,King,East Side,BKR
159,8,King,East Side,BKR
160,8,King,East Side,BKR
161,8,King,East Side,BKR
162,8,King,East Side,BKR
163,8,King,East Side,BKR
164,8,King,East Side,BKR
165,8,King,East Side,BKR
166,8,King,East Side,BKR
167,8,King,East Side,BKR
168,8,King,East Side,BKR
169,8,King,East Side,BKR
170,8,King,East Side,BKR
171,8,King,East Side,BKR
172,8,King,East Side,BKR
173,8,King,East Side,BKR
174,8,King,East Side,BKR
175,8,King,East Side,BKR
176,8,King,East Side,BKR
177,8,King,East Side,BKR
178,8,King,East Side,BKR
179,8,King,East Side,BKR
180,8,King,East Side,BKR
181,8,King,East Side,BKR
182,8,King,East Side,BKR
183,8,King,East Side,BKR
184,8,King,East Side,BKR
185,8,King,East Side,BKR
186,8,King,East Side,BKR
187,8,King,East Side,BKR
188,8,King,East Side,BKR
189,8,King,East Side,BKR
190,8,King,East Side,BKR
191,8,King,East Side,BKR
192,8,King,East Side,BKR
193,8,King,East Side,BKR
194,8,King,East Side,BKR
195,8,King,East Side,BKR
196,8,King,East Side,BKR
197,8,King,East Side,BKR
198,8,King,East Side,BKR
199,8,King,East Side,BKR
200,8,King,East Side,BKR
201,8,King,East Side,BKR
202,8,King,East Side,BKR
203,8,King,East Side,BKR
204,8,King,East Side,BKR
205,8,King,East Side,BKR
206,8,King,East Side,BKR
207,8,King,East Side,BKR
208,8,King,East Side,BKR
209,8,King,East Side,BKR
210,8,King,East Side,BKR
211,8,King,East Side,BKR
212,8,King,East Side,BKR
213,8,King,East Side,BKR
214,8,King,East Side,BKR
215,9,King,East Side,BKR
216,8,King,East Side,BKR
217,8,King,East Side,BKR
218,8,King,East Side,BKR
219,8,King,East Side,BKR
220,8,King,East Side,BKR
221,8,King,East Side,BKR
222,8,King,East Side,BKR
223,8,King,East Side,BKR
224,8,King,East Side,BKR
225,8,King,East Side,BKR
226,8,King,East Side,BKR
227,9,King,East Side,BKR
228,9,King,East Side,BKR
229,9,King,East Side,BKR
230,9,King,East Side,BKR
231,9,King,East Side,BKR
232,9,King,East Side,BKR
233,9,King,East Side,BKR
234,9,King,East Side,BKR
235,9,King,East Side,BKR
236,8,King,East Side,BKR
237,8,King,East Side,BKR
238,8,King,East Side,BKR
239,8,King,East Side,BKR
240,8,King,East Side,BKR
241,8,King,East Side,BKR
242,8,King,East Side,BKR
243,8,King,East Side,BKR
244,8,King,East Side,BKR
245,8,King,East Side,BKR
246,8,King,East Side,BKR
247,9,King,East Side,BKR
248,9,King,East Side,BKR
249,9,King,East Side,BKR
250,9,King,East Side,BKR
251,8,King,East Side,BKR
252,8,King,East Side,BKR
253,8,King,East Side,BKR
254,8,King,East Side,BKR
255,8,King,East Side,BKR
256,8,King,East Side,BKR
257,8,King,East Side,BKR
258,8,King,East Side,BKR
259,8,King,East Side,BKR
260,8,King,East Side,BKR
261,8,King,East Side,BKR
262,8,King,East Side,BKR
263,8,King,East Side,BKR
264,8,King,East Side,BKR
265,8,King,East Side,BKR
266,8,King,East Side,BKR
267,8,King,East Side,BKR
268,8,King,East Side,BKR
269,8,King,East Side,BKR
270,8,King,East Side,BKR
271,8,King,East Side,BKR
272,8,King,East Side,BKR
273,8,King,East Side,BKR
274,8,King,East Side,BKR
275,8,King,East Side,BKR
276,8,King,East Side,BKR
277,8,King,East Side,BKR
278,8,King,East Side,BKR
279,8,King,East Side,BKR
280,8,King,East Side,BKR
281,8,King,East Side,BKR
282,8,King,East Side,BKR
283,8,King,East Side,BKR
284,8,King,East Side,BKR
285,8,King,East Side,BKR
286,8,King,East Side,BKR
287,8,King,East Side,BKR
288,8,King,East Side,BKR
289,8,King,East Side,BKR
290,8,King,East Side,BKR
291,8,King,East Side,BKR
292,8,King,East Side,BKR
293,8,King,East Side,BKR
294,8,King,East Side,BKR
295,8,King,East Side,BKR
296,8,King,East Side,BKR
297,8,King,East Side,BKR
298,8,King,East Side,BKR
299,8,King,East Side,BKR
300,8,King,East Side,BKR
301,8,King,East Side,BKR
302,8,King,East Side,BKR
303,8,King,East Side,BKR
304,8,King,East Side,BKR
305,8,King,East Side,BKR
306,8,King,East Side,BKR
307,8,King,East Side,BKR
308,8,King,East Side,BKR
309,8,King,East Side,BKR
310,8,King,East Side,BKR
311,8,King,East Side,BKR
312,8,King,East Side,BKR
313,8,King,East Side,BKR
314,8,King,East Side,BKR
315,8,King,East Side,BKR
316,8,King,East Side,BKR
317,8,King,East Side,BKR
318,8,King,East Side,BKR
319,8,King,East Side,BKR
320,8,King,East Side,BKR
321,8,King,East Side,BKR
322,8,King,East Side,BKR
323,8,King,East Side,BKR
324,8,King,East Side,BKR
325,8,King,East Side,BKR
326,8,King,East Side,BKR
327,8,King,East Side,BKR
328,8,King,East Side,BKR
329,8,King,East Side,BKR
330,8,King,East Side,BKR
331,8,King,East Side,BKR
332,8,King,East Side,BKR
333,8,King,East Side,BKR
334,8,King,East Side,BKR
335,8,King,East Side,BKR
336,8,King,East Side,BKR
337,8,King,East Side,BKR
338,8,King,East Side,BKR
339,8,King,East Side,BKR
340,8,King,East Side,BKR
341,8,King,East Side,BKR
342,8,King,East Side,BKR
343,8,King,East Side,BKR
344,8,King,East Side,BKR
345,8,King,East Side,BKR
346,8,King,East Side,BKR
347,8,King,East Side,BKR
348,8,King,East Side,BKR
349,8,King,East Side,BKR
350,8,King,East Side,BKR
351,8,King,East Side,BKR
352,8,King,East Side,BKR
353,8,King,East Side,BKR
354,8,King,East Side,BKR
355,8,King,East Side,BKR
356,8,King,East Side,BKR
357,8,King,East Side,BKR
358,8,King,East Side,BKR
359,8,King,East Side,BKR
360,8,King,East Side,BKR
361,8,King,East Side,BKR
362,8,King,East Side,BKR
363,8,King,East Side,BKR
364,8,King,East Side,BKR
365,8,King,East Side,BKR
366,8,King,East Side,BKR
367,8,King,East Side,BKR
368,8,King,East Side,BKR
369,8,King,East Side,BKR
370,8,King,East Side,BKR
371,8,King,East Side,BKR
372,8,King,East Side,BKR
373,8,King,East Side,BKR
374,8,King,East Side,BKR
375,8,King,East Side,BKR
376,8,King,East Side,BKR
377,8,King,East Side,BKR
378,8,King,East Side,BKR
379,8,King,East Side,BKR
380,8,King,East Side,BKR
381,8,King,East Side,BKR
382,8,King,East Side,BKR
383,8,King,East Side,BKR
384,8,King,East Side,BKR
385,8,King,East Side,BKR
386,8,King,East Side,BKR
387,8,King,East Side,BKR
388,8,King,East Side,BKR
389,8,King,East Side,BKR
390,8,King,East Side,BKR
391,8,King,East Side,BKR
392,8,King,East Side,BKR
393,8,King,East Side,BKR
394,8,King,East Side,BKR
395,8,King,East Side,BKR
396,8,King,East Side,BKR
397,8,King,East Side,BKR
398,8,King,East Side,BKR
399,8,King,East Side,BKR
400,8,King,East Side,BKR
401,8,King,East Side,BKR
402,8,King,East Side,BKR
403,8,King,East Side,BKR
404,8,King,East Side,BKR
405,8,King,East Side,BKR
406,8,King,East Side,BKR
407,8,King,East Side,BKR
408,8,King,East Side,BKR
409,8,King,East Side,BKR
410,8,King,East Side,BKR
411,8,King,East Side,BKR
412,8,King,East Side,BKR
413,8,King,East Side,BKR
414,8,King,East Side,BKR
415,8,King,East Side,BKR
416,8,King,East Side,BKR
417,8,King,East Side,BKR
418,8,King,East Side,BKR
419,8,King,East Side,BKR
420,8,King,East Side,BKR
421,8,King,East Side,BKR
422,8,King,East Side,BKR
423,8,King,East Side,BKR
424,8,King,East Side,BKR
425,8,King,East Side,BKR
426,8,King,East Side,BKR
427,8,King,East Side,BKR
428,8,King,East Side,BKR
429,8,King,East Side,BKR
430,8,King,East Side,BKR
431,8,King,East Side,BKR
432,8,King,East Side,BKR
433,8,King,East Side,BKR
434,8,King,East Side,BKR
435,8,King,East Side,BKR
436,8,King,East Side,BKR
437,8,King,East Side,BKR
438,8,King,East Side,BKR
439,8,King,East Side,BKR
440,8,King,East Side,BKR
441,8,King,East Side,BKR
442,8,King,East Side,BKR
443,8,King,East Side,BKR
444,8,King,East Side,BKR
445,8,King,East Side,BKR
446,8,King,East Side,BKR
447,8,King,East Side,BKR
448,8,King,East Side,BKR
449,8,King,East Side,BKR
450,8,King,East Side,BKR
451,8,King,East Side,BKR
452,8,King,East Side,BKR
453,8,King,East Side,BKR
454,8,King,East Side,BKR
455,8,King,East Side,BKR
456,8,King,East Side,BKR
457,8,King,East Side,BKR
458,8,King,East Side,BKR
459,8,King,East Side,BKR
460,8,King,East Side,BKR
461,8,King,East Side,BKR
462,8,King,East Side,BKR
463,8,King,East Side,BKR
464,8,King,East Side,BKR
465,8,King,East Side,BKR
466,8,King,East Side,BKR
467,8,King,East Side,BKR
468,8,King,East Side,BKR
469,8,King,East Side,BKR
470,8,King,East Side,BKR
471,8,King,East Side,BKR
472,8,King,East Side,BKR
473,8,King,East Side,BKR
474,8,King,East Side,BKR
475,8,King,East Side,BKR
476,8,King,East Side,BKR
477,8,King,East Side,BKR
478,8,King,East Side,BKR
479,8,King,East Side,BKR
480,8,King,East Side,BKR
481,8,King,East Side,BKR
482,8,King,East Side,BKR
483,8,King,East Side,BKR
484,8,King,East Side,BKR
485,8,King,East Side,BKR
486,8,King,East Side,BKR
487,7,King,East Side,BKR
488,7,King,East Side,BKR
489,8,King,East Side,BKR
490,8,King,East Side,BKR
491,8,King,East Side,BKR
492,8,King,East Side,BKR
493,8,King,East Side,BKR
494,8,King,East Side,BKR
495,8,King,East Side,BKR
496,8,King,East Side,BKR
497,8,King,East Side,BKR
498,8,King,East Side,BKR
499,8,King,East Side,BKR
500,8,King,East Side,BKR
501,8,King,East Side,BKR
502,8,King,East Side,BKR
503,8,King,East Side,BKR
504,8,King,East Side,BKR
505,8,King,East Side,BKR
506,8,King,East Side,BKR
507,8,King,East Side,BKR
508,8,King,East Side,BKR
509,8,King,East Side,BKR
510,8,King,East Side,BKR
511,8,King,East Side,BKR
512,8,King,East Side,BKR
513,8,King,East Side,BKR
514,7,King,East Side,BKR
515,7,King,East Side,BKR
516,7,King,East Side,BKR
517,7,King,East Side,BKR
518,8,King,East Side,BKR
519,8,King,East Side,BKR
520,8,King,East Side,BKR
521,8,King,East Side,BKR
522,8,King,East Side,BKR
523,8,King,East Side,BKR
524,8,King,East Side,BKR
525,8,King,East Side,BKR
526,8,King,East Side,BKR
527,8,King,East Side,BKR
528,8,King,East Side,BKR
529,8,King,East Side,BKR
530,8,King,East Side,BKR
531,8,King,East Side,BKR
532,7,King,East Side,BKR
533,7,King,East Side,BKR
534,7,King,East Side,BKR
535,7,King,East Side,BKR
536,7,King,East Side,BKR
537,7,King,East Side,BKR
538,7,King,East Side,BKR
539,7,King,East Side,BKR
540,7,King,East Side,BKR
541,7,King,East Side,BKR
542,7,King,East Side,BKR
543,7,King,East Side,BKR
544,7,King,East Side,BKR
545,7,King,East Side,BKR
546,7,King,East Side,BKR
547,7,King,East Side,BKR
548,7,King,East Side,BKR
549,7,King,East Side,BKR
550,7,King,East Side,BKR
551,7,King,East Side,BKR
552,8,King,East Side,BKR
553,8,King,East Side,BKR
554,8,King,East Side,BKR
555,8,King,East Side,BKR
556,8,King,East Side,BKR
557,8,King,East Side,BKR
558,8,King,East Side,BKR
559,8,King,East Side,BKR
560,8,King,East Side,BKR
561,7,King,East Side,BKR
562,7,King,East Side,BKR
563,7,King,East Side,BKR
564,7,King,East Side,BKR
565,7,King,East Side,BKR
566,8,King,East Side,BKR
567,8,King,East Side,BKR
568,8,King,East Side,BKR
569,8,King,East Side,BKR
570,8,King,East Side,BKR
571,8,King,East Side,BKR
572,8,King,East Side,BKR
573,8,King,East Side,BKR
574,8,King,East Side,BKR
575,8,King,East Side,BKR
576,8,King,East Side,BKR
577,8,King,East Side,BKR
578,8,King,East Side,BKR
579,8,King,East Side,BKR
580,8,King,East Side,BKR
581,8,King,East Side,BKR
582,8,King,East Side,BKR
583,8,King,East Side,BKR
584,8,King,East Side,BKR
585,8,King,East Side,BKR
586,8,King,East Side,BKR
587,8,King,East Side,BKR
588,8,King,East Side,BKR
589,8,King,East Side,BKR
590,8,King,East Side,BKR
591,8,King,East Side,BKR
592,7,King,East Side,BKR
593,7,King,East Side,BKR
594,7,King,East Side,BKR
595,7,King,East Side,BKR
596,7,King,East Side,BKR
597,7,King,East Side,BKR
598,7,King,East Side,BKR
599,7,King,East Side,BKR
600,7,King,East Side,BKR
601,7,King,East Side,BKR
602,7,King,East Side,BKR
603,7,King,East Side,BKR
604,7,King,East Side,BKR
605,7,King,East Side,BKR
606,7,King,East Side,BKR
607,7,King,East Side,BKR
608,7,King,East Side,BKR
609,7,King,East Side,BKR
610,7,King,East Side,BKR
611,7,King,East Side,BKR
612,7,King,East Side,BKR
613,7,King,East Side,BKR
614,7,King,East Side,BKR
615,7,King,East Side,BKR
616,7,King,East Side,BKR
617,8,King,East Side,BKR
618,8,King,East Side,BKR
619,8,King,East Side,BKR
620,8,King,East Side,BKR
621,8,King,East Side,BKR
622,8,King,East Side,BKR
623,8,King,East Side,BKR
624,8,King,East Side,BKR
625,8,King,East Side,BKR
626,8,King,East Side,BKR
627,8,King,East Side,BKR
628,8,King,East Side,BKR
629,8,King,East Side,BKR
630,8,King,East Side,BKR
631,8,King,East Side,BKR
632,8,King,East Side,BKR
633,8,King,East Side,BKR
634,8,King,East Side,BKR
635,8,King,East Side,BKR
636,8,King,East Side,BKR
637,8,King,East Side,BKR
638,7,King,East Side,BKR
639,7,King,East Side,BKR
640,7,King,East Side,BKR
641,7,King,East Side,BKR
642,7,King,East Side,BKR
643,7,King,East Side,BKR
644,7,King,East Side,BKR
645,7,King,East Side,BKR
646,7,King,East Side,BKR
647,7,King,East Side,BKR
648,7,King,East Side,BKR
649,7,King,East Side,BKR
650,7,King,East Side,BKR
651,7,King,East Side,BKR
652,7,King,East Side,BKR
653,7,King,East Side,BKR
654,7,King,East Side,BKR
655,7,King,East Side,BKR
656,6,King,East Side,BKR
657,7,King,East Side,BKR
658,8,King,East Side,BKR
681,8,King,East Side,BKR
682,8,King,East Side,BKR
683,9,King,East Side,BKR
684,9,King,East Side,BKR
685,9,King,East Side,BKR
686,9,King,East Side,BKR
687,9,King,East Side,BKR
688,9,King,East Side,BKR
689,9,King,East Side,BKR
690,9,King,East Side,BKR
691,9,King,East Side,BKR
692,9,King,East Side,BKR
693,9,King,East Side,BKR
694,9,King,East Side,BKR
695,9,King,East Side,BKR
696,9,King,East Side,BKR
697,9,King,East Side,BKR
698,9,King,East Side,BKR
699,9,King,East Side,BKR
700,9,King,East Side,BKR
701,9,King,East Side,BKR
702,9,King,East Side,BKR
703,9,King,East Side,BKR
704,9,King,East Side,BKR
705,9,King,East Side,BKR
706,9,King,East Side,BKR
707,9,King,East Side,BKR
708,9,King,East Side,BKR
709,9,King,East Side,BKR
710,9,King,East Side,BKR
711,9,King,East Side,BKR
712,9,King,East Side,BKR
713,9,King,East Side,BKR
714,9,King,East Side,BKR
715,9,King,East Side,BKR
716,9,King,East Side,BKR
717,9,King,East Side,BKR
718,9,King,East Side,BKR
719,9,King,East Side,BKR
720,9,King,East Side,BKR
721,9,King,East Side,BKR
722,9,King,East Side,BKR
723,9,King,East Side,BKR
724,9,King,East Side,BKR
725,9,King,East Side,BKR
726,9,King,East Side,BKR
727,9,King,East Side,BKR
728,9,King,East Side,BKR
729,9,King,East Side,BKR
730,9,King,East Side,BKR
731,9,King,East Side,BKR
732,9,King,East Side,BKR
733,9,King,East Side,BKR
734,9,King,East Side,BKR
735,9,King,East Side,BKR
736,9,King,East Side,BKR
737,9,King,East Side,BKR
738,9,King,East Side,BKR
739,9,King,East Side,BKR
740,9,King,East Side,BKR
741,9,King,East Side,BKR
742,9,King,East Side,BKR
743,9,King,East Side,BKR
744,9,King,East Side,BKR
745,9,King,East Side,BKR
746,9,King,East Side,BKR
747,9,King,East Side,BKR
748,9,King,East Side,BKR
749,9,King,East Side,BKR
750,9,King,East Side,BKR
751,9,King,East Side,BKR
752,9,King,East Side,BKR
753,9,King,East Side,BKR
754,9,King,East Side,BKR
755,9,King,East Side,BKR
756,9,King,East Side,BKR
757,9,King,East Side,BKR
758,9,King,East Side,BKR
759,9,King,East Side,BKR
760,9,King,East Side,BKR
761,9,King,East Side,BKR
762,9,King,East Side,BKR
763,9,King,East Side,BKR
764,9,King,East Side,BKR
765,9,King,East Side,BKR
766,9,King,East Side,BKR
767,9,King,East Side,BKR
768,9,King,East Side,BKR
769,9,King,East Side,BKR
770,9,King,East Side,BKR
771,9,King,East Side,BKR
772,9,King,East Side,BKR
773,9,King,East Side,BKR
774,9,King,East Side,BKR
775,9,King,East Side,BKR
776,9,King,East Side,BKR
777,9,King,East Side,BKR
778,9,King,East Side,BKR
779,9,King,East Side,BKR
780,9,King,East Side,BKR
781,9,King,East Side,BKR
782,9,King,East Side,BKR
783,9,King,East Side,BKR
784,9,King,East Side,BKR
785,9,King,East Side,BKR
786,9,King,East Side,BKR
787,9,King,East Side,BKR
788,9,King,East Side,BKR
789,9,King,East Side,BKR
790,9,King,East Side,BKR
791,9,King,East Side,BKR
792,9,King,East Side,BKR
793,9,King,East Side,BKR
794,9,King,East Side,BKR
795,9,King,East Side,BKR
796,9,King,East Side,BKR
797,9,King,East Side,BKR
798,9,King,East Side,BKR
799,9,King,East Side,BKR
800,9,King,East Side,BKR
801,9,King,East Side,BKR
802,9,King,East Side,BKR
803,9,King,East Side,BKR
804,9,King,East Side,BKR
805,9,King,East Side,BKR
806,9,King,East Side,BKR
807,9,King,East Side,BKR
808,9,King,East Side,BKR
809,9,King,East Side,BKR
810,9,King,East Side,BKR
811,9,King,East Side,BKR
812,9,King,East Side,BKR
813,9,King,East Side,BKR
814,9,King,East Side,BKR
815,9,King,East Side,BKR
816,9,King,East Side,BKR
817,9,King,East Side,BKR
818,9,King,East Side,BKR
819,9,King,East Side,BKR
820,9,King,East Side,BKR
821,9,King,East Side,BKR
822,9,King,East Side,BKR
823,9,King,East Side,BKR
824,9,King,East Side,BKR
825,9,King,East Side,BKR
826,9,King,East Side,BKR
827,9,King,East Side,BKR
828,9,King,East Side,BKR
829,9,King,East Side,BKR
830,9,King,East Side,BKR
831,9,King,East Side,BKR
832,9,King,East Side,BKR
833,9,King,East Side,BKR
834,9,King,East Side,BKR
835,9,King,East Side,BKR
836,9,King,East Side,BKR
837,9,King,East Side,BKR
838,9,King,East Side,BKR
839,9,King,East Side,BKR
840,9,King,East Side,BKR
841,9,King,East Side,BKR
842,9,King,East Side,BKR
843,9,King,East Side,BKR
844,9,King,East Side,BKR
845,9,King,East Side,BKR
846,9,King,East Side,BKR
847,9,King,East Side,BKR
848,9,King,East Side,BKR
849,9,King,East Side,BKR
850,9,King,East Side,BKR
851,9,King,East Side,BKR
852,9,King,East Side,BKR
853,9,King,East Side,BKR
854,9,King,East Side,BKR
855,9,King,East Side,BKR
856,9,King,East Side,BKR
857,9,King,East Side,BKR
858,9,King,East Side,BKR
859,9,King,East Side,BKR
860,9,King,East Side,BKR
861,9,King,East Side,BKR
862,9,King,East Side,BKR
863,9,King,East Side,BKR
864,9,King,East Side,BKR
865,9,King,East Side,BKR
866,9,King,East Side,BKR
867,9,King,East Side,BKR
868,9,King,East Side,BKR
869,9,King,East Side,BKR
870,9,King,East Side,BKR
871,9,King,East Side,BKR
872,9,King,East Side,BKR
873,9,King,East Side,BKR
874,9,King,East Side,BKR
875,9,King,East Side,BKR
876,9,King,East Side,BKR
877,9,King,East Side,BKR
878,9,King,East Side,BKR
879,9,King,East Side,BKR
880,9,King,East Side,BKR
881,9,King,East Side,BKR
882,9,King,East Side,BKR
883,9,King,East Side,BKR
884,9,King,East Side,BKR
885,9,King,East Side,BKR
886,9,King,East Side,BKR
887,9,King,East Side,BKR
888,9,King,East Side,BKR
889,9,King,East Side,BKR
890,9,King,East Side,BKR
891,9,King,East Side,BKR
892,9,King,East Side,BKR
893,9,King,East Side,BKR
894,9,King,East Side,BKR
895,9,King,East Side,BKR
896,9,King,East Side,BKR
897,9,King,East Side,BKR
898,9,King,East Side,BKR
899,9,King,East Side,BKR
900,9,King,East Side,BKR
901,9,King,East Side,BKR
902,9,King,East Side,BKR
903,9,King,East Side,BKR
904,9,King,East Side,BKR
905,9,King,East Side,BKR
906,9,King,East Side,BKR
907,9,King,East Side,BKR
908,9,King,East Side,BKR
909,9,King,East Side,BKR
910,9,King,East Side,BKR
911,9,King,East Side,BKR
912,9,King,East Side,BKR
913,9,King,East Side,BKR
914,9,King,East Side,BKR
915,9,King,East Side,BKR
916,9,King,East Side,BKR
917,9,King,East Side,BKR
918,9,King,East Side,BKR
931,9,King,East Side,BKR
932,9,King,East Side,BKR
933,9,King,East Side,BKR
934,9,King,East Side,BKR
935,9,King,East Side,BKR
936,9,King,East Side,BKR
937,9,King,East Side,BKR
938,9,King,East Side,BKR
939,9,King,East Side,BKR
940,9,King,East Side,BKR
941,9,King,East Side,BKR
942,9,King,East Side,BKR
943,9,King,East Side,BKR
944,9,King,East Side,BKR
945,9,King,East Side,BKR
946,9,King,East Side,BKR
947,9,King,East Side,BKR
948,9,King,East Side,BKR
949,9,King,East Side,BKR
950,9,King,East Side,BKR
951,9,King,East Side,BKR
952,9,King,East Side,BKR
953,9,King,East Side,BKR
954,9,King,East Side,BKR
955,9,King,East Side,BKR
956,9,King,East Side,BKR
957,9,King,East Side,BKR
958,9,King,East Side,BKR
959,9,King,East Side,BKR
960,9,King,East Side,BKR
961,9,King,East Side,BKR
962,9,King,East Side,BKR
963,9,King,East Side,BKR
964,9,King,East Side,BKR
965,9,King,East Side,BKR
966,8,King,East Side,BKR
967,8,King,East Side,BKR
968,8,King,East Side,BKR
969,8,King,East Side,BKR
970,9,King,East Side,BKR
971,9,King,East Side,BKR
972,9,King,East Side,BKR
973,9,King,East Side,BKR
974,9,King,East Side,BKR
975,9,King,East Side,BKR
976,9,King,East Side,BKR
977,9,King,East Side,BKR
978,9,King,East Side,BKR
979,9,King,East Side,BKR
980,9,King,East Side,BKR
981,9,King,East Side,BKR
982,9,King,East Side,BKR
983,9,King,East Side,BKR
984,9,King,East Side,BKR
985,9,King,East Side,BKR
986,9,King,East Side,BKR
987,9,King,East Side,BKR
988,9,King,East Side,BKR
989,9,King,East Side,BKR
990,9,King,East Side,BKR
991,9,King,East Side,BKR
992,9,King,East Side,BKR
993,9,King,East Side,BKR
994,9,King,East Side,BKR
995,9,King,East Side,BKR
996,9,King,East Side,BKR
997,9,King,East Side,BKR
998,9,King,East Side,BKR
999,9,King,East Side,BKR
1000,9,King,East Side,BKR
1001,9,King,East Side,BKR
1002,9,King,East Side,BKR
1003,9,King,East Side,BKR
1004,9,King,East Side,BKR
1005,9,King,East Side,BKR
1006,9,King,East Side,BKR
1007,9,King,East Side,BKR
1008,9,King,East Side,BKR
1009,9,King,East Side,BKR
1010,9,King,East Side,BKR
1011,9,King,East Side,BKR
1012,9,King,East Side,BKR
1013,9,King,East Side,BKR
1014,9,King,East Side,BKR
1015,9,King,East Side,BKR
1016,9,King,East Side,BKR
1017,9,King,East Side,BKR
1018,9,King,East Side,BKR
1019,9,King,East Side,BKR
1020,9,King,East Side,BKR
1021,9,King,East Side,BKR
1022,9,King,East Side,BKR
1023,9,King,East Side,BKR
1024,9,King,East Side,BKR
1025,9,King,East Side,BKR
1026,9,King,East Side,BKR
1027,9,King,East Side,BKR
1028,9,King,East Side,BKR
